report_id,record_id,study_id,report_type,linkage_evidence,status
RPT-PUBMED-648034,REC-PUBMED-648034,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-651028,REC-PUBMED-651028,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-651964,REC-PUBMED-651964,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-656438,REC-PUBMED-656438,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-657092,REC-PUBMED-657092,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-658784,REC-PUBMED-658784,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-659599,REC-PUBMED-659599,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-660307,REC-PUBMED-660307,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-666891,REC-PUBMED-666891,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-668394,REC-PUBMED-668394,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-672143,REC-PUBMED-672143,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-675220,REC-PUBMED-675220,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-682332,REC-PUBMED-682332,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-688743,REC-PUBMED-688743,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-689807,REC-PUBMED-689807,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-694945,REC-PUBMED-694945,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-700170,REC-PUBMED-700170,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-700946,REC-PUBMED-700946,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-707520,REC-PUBMED-707520,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-709935,REC-PUBMED-709935,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-709936,REC-PUBMED-709936,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-711406,REC-PUBMED-711406,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-714136,REC-PUBMED-714136,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-719257,REC-PUBMED-719257,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-721683,REC-PUBMED-721683,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-721829,REC-PUBMED-721829,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-722713,REC-PUBMED-722713,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-722898,REC-PUBMED-722898,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-723991,REC-PUBMED-723991,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-725466,REC-PUBMED-725466,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-728474,REC-PUBMED-728474,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-742836,REC-PUBMED-742836,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-742892,REC-PUBMED-742892,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-744168,REC-PUBMED-744168,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-749570,REC-PUBMED-749570,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-752633,REC-PUBMED-752633,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-760859,REC-PUBMED-760859,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-766893,REC-PUBMED-766893,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-779597,REC-PUBMED-779597,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-782240,REC-PUBMED-782240,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-786887,REC-PUBMED-786887,,bibliographic_record,PMID exact,needs_human_study_linkage
